案件名,タスク内容,期限・日時,優先度,ステータス,備考/リンク
防衛省,月例会議準備,"11月第1週目（11/3〜11/7）",高,未着手,会議資料・議題整理
防衛省,Googleアナリティクス解析レポート作成,"11月11日（火）頃（6〜7営業日目）",高,未着手,月例報告用
防衛省,翌月スケジュール作成,"11月20日（木）",中,未着手,12月分の予定
防衛省,提案書作成,（未定）,高,未着手,"../案件/防衛省/02_提案書/"
防衛省,見積もり作成,（未定）,高,未着手,"../案件/防衛省/"
あしなが育英会,事前MTG,"11/04（火）16:00 - 16:30",高,未着手,"../案件/あしなが育英会/"
あしなが育英会,クライアント・あらばと者とのヒアリングミーティング,"11月10日（月）14:00〜",高,未着手,ミーティング設定済み
あしなが育英会,クライアントミーティング,"11/10（月）14:00 - 15:00",高,未着手,
あしなが育英会,概算見積作成,ミーティング後,中,未着手,ヒアリング結果を反映
防衛装備庁,見積もり作成,月曜中,高,保留,"内容確認中 / ../案件/防衛装備庁/"
防衛装備庁,部内レビュー依頼,月曜,高,未着手,"../案件/防衛装備庁/"
防衛装備庁,ユニットレビュー依頼,月曜,高,未着手,"../案件/防衛装備庁/"
ユーアイユーエックスサイト,アンビルさん 作業中,（未定）,中,進行中,
日本ビジネスシステムズ,SharePoint挙動確認,11/04,中,未着手,
【SharePoint】現状報告 ＆ 質問会,（なし),"11/05（水）14:00 - 15:00",中,未着手,
UIUX部部会,（なし),"10/31（金）12:00 - 13:00",中,未着手,
日本新薬,最低案クライアント検討待ち,01/26,中,保留,"クライアント検討中 / ../案件/日本新薬/"
株式会社日本信用情報機構,調査対象ページリスト整理・提示（クライアント側）,1月中,高,未着手,"75ページフル or 10ページ版の検討 / ../案件/株式会社日本信用情報機構/"
株式会社日本信用情報機構,75ページフル/10ページ版の2パターン見積作成（ARI側）,1月中（概算),高,未着手,"報告会/研修オプション検討含む / 最終予算確定は2月下旬 / ../案件/株式会社日本信用情報機構/"
千代田セレモニー,経営スピリット/歴史資料共有（クライアント側）,（未定）,中,保留,資料共有待ち
千代田セレモニー,ブランド設計〜サイト要件化ロードマップ案作成（ARI側）,（未定）,高,未着手,"前段支援（0.5人月）の支援内容・進め方を整理し提案 / ../案件/千代田セレモニー/"